# 电气设备
# 格式: 股票代码.交易所  # 名称

688348.SH  # 昱能科技
688349.SH  # 三一重能
688388.SH  # 嘉元科技
688390.SH  # 固德威
688408.SH  # 中信博
688411.SH  # 海博思创
688429.SH  # 时创能源
688472.SH  # 阿特斯
688503.SH  # 聚和材料
688517.SH  # 金冠电气
688560.SH  # 明冠新材
688567.SH  # 孚能科技
688599.SH  # 天合光能
688611.SH  # 杭州柯林
688660.SH  # 电气风电
688663.SH  # 新风光
688676.SH  # 金盘科技
688681.SH  # 科汇股份
688698.SH  # 伟创电气
688707.SH  # 振华新材
688717.SH  # 艾罗能源
688719.SH  # 爱科赛博
688772.SH  # 珠海冠宇
688778.SH  # 厦钨新能
688779.SH  # 五矿新能
688819.SH  # 天能股份
