# A股全市场股票池
# 格式: 股票代码.交易所  # 名称
# 以#开头的行为注释
# 数据来源: Tushare
# 生成时间: 2025-11-07 15:02:31

# IT设备
300002.SZ  # 神州泰岳
300031.SZ  # 宝通科技
300043.SZ  # 星辉娱乐
300052.SZ  # ST中青宝
300061.SZ  # 旗天科技
300063.SZ  # 天龙集团
300113.SZ  # 顺网科技
300209.SZ  # 有棵树
300226.SZ  # 上海钢联
300242.SZ  # 佳云科技
300292.SZ  # 吴通控股
300295.SZ  # 三六五网
300299.SZ  # 富春股份
300315.SZ  # 掌趣科技
300399.SZ  # 天利科技
300418.SZ  # 昆仑万维
300459.SZ  # 汤姆猫
300467.SZ  # 迅游科技
300494.SZ  # 盛天网络
300518.SZ  # 新迅达
300533.SZ  # 冰川网络
300571.SZ  # 平治信息
300592.SZ  # 华凯易佰
300766.SZ  # 每日互动
300785.SZ  # 值得买
300792.SZ  # 壹网壹创
300921.SZ  # 南凌科技
300987.SZ  # 川网传媒
301001.SZ  # 凯淳股份
301110.SZ  # 青木科技
301171.SZ  # 易点天下
301299.SZ  # 卓创资讯
301381.SZ  # 赛维时代
301382.SZ  # 蜂助手
301428.SZ  # 世纪恒通
301558.SZ  # 三态股份
600228.SH  # *ST返利
600365.SH  # ST通葡
600539.SH  # 狮头股份
600556.SH  # 天下秀
600633.SH  # 浙数文化
600892.SH  # *ST大晟
600986.SH  # 浙文互联
601360.SH  # 三六零
603000.SH  # 人民网
603258.SH  # 电魂网络
603444.SH  # 吉比特
603533.SH  # 掌阅科技
603598.SH  # 引力传媒
603613.SH  # 国联股份
603825.SH  # ST华扬
603888.SH  # 新华网
605168.SH  # 三人行
688500.SH  # 慧辰股份

# 仓储物流
000906.SZ  # 浙商中拓
000927.SZ  # 中国铁物
001202.SZ  # 炬申股份
001228.SZ  # 永泰运
001391.SZ  # 国货航
002010.SZ  # 传化智联
002120.SZ  # 韵达股份
002183.SZ  # 怡亚通
002352.SZ  # 顺丰控股
002468.SZ  # 申通快递
